Incident ID,Class,Affected Volume,Total Excess Travel time,Date ,Time,Location,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction (w/ TWA),Lanes closed  (TWA),RCT,RCT [min],ICT for IMT,ICT for IMT [min],Responding IMTs,Inflated time,MATSim Link,Start Time (sec),End Time (sec),,,,,
135,3,4885,584.34,9/14/2018,4:28:57 PM,1500 N I15 NB,40.8,-111.92,4,1,0.25,1,12:28:03 AM,28.1,12:22:33 AM,22.6,1,27.8,24423,59337,61005,,,,,
136,3,4104,643.04,9/18/2018,7:51:07 AM,700 E I80 WB,40.72,-111.87,4,2,0.39,1.54,12:59:53 AM,59.9,12:48:02 AM,48,2,59.2,30677,28267,31819,,,,,
137,3,9481,447.69,9/24/2018,3:13:32 PM,4500 S I15 SB,40.67,-111.9,6,2,0.18,1.06,12:56:28 AM,56.5,1:14:41 AM,74.7,1,92,31372,54812,60332,,,,,
138,3,5323,417.09,9/27/2018,9:30:27 AM,9000 S I15 NB,40.57,-111.9,5,2,0.32,1.62,12:15:33 AM,15.6,1:32:08 AM,92.1,1,113.5,24516,34227,41037,,,,,
139,4,8661,1699.01,3/16/2018,5:41:27 AM,253007 I15 SB,40.08,-111.71,3,3,1,3,3:47:33 AM,227.6,12:41:26 AM,41.4,1,51,24404,20487,23547,,,,,
140,4,7337,1638.21,3/26/2018,4:30:35 PM,2336 N I15 NB,40.81,-111.92,4,3,0.61,2.44,12:43:25 AM,43.4,1:06:55 AM,66.9,1,82.4,24924,59435,64379,,,,,
141,4,11241,1125.86,3/27/2018,7:54:48 AM,280003 I15 NB,40.4,-111.85,5,3,0.26,1.29,12:16:12 AM,16.2,1:29:51 AM,89.9,1,110.7,24924,28488,35130,,,,,
142,4,11769,1611,3/28/2018,12:56:50 PM,5300 S I15 NB,40.65,-111.9,5,2,0.4,2,1:31:10 AM,91.2,12:34:10 AM,34.2,2,42.1,38344,46610,49136,,,,,
143,4,5988,1180.06,3/29/2018,5:48:02 PM,8000 S I15 SB,40.62,-111.91,4,3,0.34,1.35,1:06:58 AM,67,12:57:33 AM,57.6,1,70.9,24924,64082,68336,,,,,
144,4,3391,1308.62,5/3/2018,5:27:16 PM,279000 I15 SB,40.61,-111.91,5,2,0.3,1.5,12:17:44 AM,17.7,12:55:17 AM,55.3,1,68.1,24520,62836,66922,,,,,
145,4,9329,1058.3,5/11/2018,7:33:49 AM,3300 S I15 NB,40.7,-111.9,4,2,0.5,2,12:44:11 AM,44.2,12:34:09 AM,34.1,1,42.1,35382,27229,29755,,,,,
146,4,13926,1513.49,5/22/2018,12:39:32 PM,278101 I15 NB,40.38,-111.82,5,2,0.4,2,2:06:28 AM,126.5,12:28:24 AM,28.4,1,35,30708,45572,47672,,,,,
147,4,7310,1446.21,5/22/2018,4:12:14 PM,14931 S I15 NB,40.48,-111.9,6,4,0.34,2.01,12:55:46 AM,55.8,12:40:07 AM,40.1,1,49.4,24390,58334,61298,,,,,
148,4,7935,1404.61,5/29/2018,7:08:23 AM,279002 I15 NB,40.38,-111.83,5,3,0.47,2.34,1:00:37 AM,60.6,1:28:42 AM,88.7,1,109.3,30648,25703,32261,,,,,
149,4,17452,1253.43,6/12/2018,4:06:03 PM,900 N I15 NB,40.79,-111.92,3,3,0.49,1.47,12:16:57 AM,17,12:50:25 AM,50.4,1,62.1,46144,57963,61689,,,,,
150,4,10555,1283.53,6/15/2018,12:59:15 PM,8000 S I15 NB,40.6,-111.9,5,2,0.4,2,12:29:45 AM,29.8,1:35:31 AM,95.5,1,117.7,30651,46755,53817,,,,,
151,4,20647,1108.43,6/15/2018,2:56:13 PM,600 N I15 NB,40.77,-111.91,5,1,0.2,1,12:28:47 AM,28.8,12:45:41 AM,45.7,1,56.3,33550,53773,57151,,,,,
152,4,8176,945.18,6/20/2018,3:13:08 PM,273995 I15 SB,40.35,-111.76,6,3,0.36,2.14,12:42:52 AM,42.9,12:52:06 AM,52.1,1,64.2,24390,54788,58640,,,,,
153,4,6771,987.55,6/20/2018,5:52:16 PM,1000 N I15 SB,40.79,-111.92,4,3,0.68,2.73,1:21:44 AM,81.7,1:20:06 AM,80.1,2,98.7,16992,64336,70258,,,,,
154,4,15051,1112.69,6/22/2018,1:00:52 PM,9400 S I15 NB,40.57,-111.9,6,1,0.17,1,12:03:08 AM,3.1,1:06:35 AM,66.6,2,82,30673,46852,51772,,,,,
155,4,7606,1565.1,6/26/2018,10:10:40 AM,8100 S I15 NB,40.6,-111.9,6,3,0.38,2.28,1:09:20 AM,69.3,12:55:42 AM,55.7,1,68.6,24605,36640,40756,,,,,
156,4,17005,1300.05,7/9/2018,7:50:44 AM,9800 S I15 NB,40.57,-111.9,6,1,0.17,1,12:00:16 AM,0.3,1:13:19 AM,73.3,1,90.3,30648,28244,33662,,,,,
157,4,8865,1497.59,7/11/2018,3:22:14 PM,7200 S I15 SB,40.63,-111.9,6,1,0.17,1,12:02:46 AM,2.8,1:01:18 AM,61.3,2,75.5,24608,55334,59864,,,,,
158,4,6767,838.09,7/17/2018,6:01:36 PM,281930 I15 NB,40.42,-111.88,5,4,0.29,1.46,1:09:24 AM,69.4,12:19:05 AM,19.1,1,23.5,30674,64896,66306,,,,,
159,4,9992,971.22,7/20/2018,8:25:44 AM,1116 S I15 NB,40.74,-111.9,4,5,0.25,1,12:49:16 AM,49.3,1:16:50 AM,76.8,1,94.7,17013,30344,36026,,,,,
160,4,16368,1469.07,7/25/2018,4:44:39 PM,8000 S I15 SB,40.62,-111.91,4,3,0.32,1.29,1:08:21 AM,68.4,12:55:40 AM,55.7,2,68.6,42111,60279,64395,,,,,
161,4,8702,838.21,8/9/2018,7:28:57 AM,281930 I15 NB,40.42,-111.87,5,1,0.2,1,12:50:03 AM,50.1,1:10:01 AM,70,1,86.3,30814,26937,32115,,,,,
162,4,2385,1302.5,8/23/2018,1:48:46 PM,8800 S I15 NB,40.59,-111.9,6,3,0.17,1,12:26:14 AM,26.2,1:10:59 AM,71,2,87.5,32731,49726,54976,,,,,
163,4,9673,1325.55,9/4/2018,7:24:41 AM,16423 S I15 SB,40.46,-111.91,6,2,0.19,1.16,1:22:49 AM,82.8,1:34:34 AM,94.6,1,116.5,24939,26681,33671,,,,,
164,4,10267,1356.9,9/11/2018,8:48:41 AM,3700 S I15 NB,40.69,-111.9,6,3,0.5,3,12:29:19 AM,29.3,12:34:14 AM,34.2,1,42.2,30665,31721,34253,,,,,
165,4,12939,1281.98,9/13/2018,7:53:13 AM,10700 S I15 SB,40.56,-111.9,6,4,0.33,2,12:10:47 AM,10.8,12:24:06 AM,24.1,1,29.7,33522,28393,30175,,,,,
166,4,4647,1725.46,9/13/2018,3:42:48 PM,277006 I15 SB,40.37,-111.8,6,2,0.33,2,12:20:12 AM,20.2,1:08:52 AM,68.9,1,84.8,24301,56568,61656,,,,,
167,4,6785,1074.94,9/18/2018,1:40:21 PM,9200 S I15 SB,40.59,-111.9,6,1,0.17,1,1:25:39 AM,85.7,12:39:48 AM,39.8,1,49,32341,49221,52161,,,,,
168,4,2500,1423.13,9/20/2018,9:01:40 AM,14500 S I15 NB,40.49,-111.9,6,3,0.46,2.78,1:40:20 AM,100.3,12:31:22 AM,31.4,2,38.6,30673,32500,34816,,,,,
169,4,8998,1181.29,9/20/2018,4:48:31 PM,280003 I15 NB,40.4,-111.84,5,3,0.47,2.37,12:52:29 AM,52.5,12:27:44 AM,27.7,1,34.2,30814,60511,62563,,,,,
170,4,9780,996.16,9/24/2018,11:10:00 AM,10900 S I15 SB,40.54,-111.89,6,3,0.32,1.95,1:05:00 AM,65,1:01:14 AM,61.2,2,75.4,4784,40200,44724,,,,,
171,5,8527,2086.15,3/5/2018,3:32:37 PM,8900 S I15 NB,40.59,-111.9,5,2,0.4,2,12:16:23 AM,16.4,12:34:18 AM,34.3,1,42.3,24390,55957,58495,,,,,
172,5,8798,3228.09,3/13/2018,2:47:49 PM,281917 I15 SB; MM 282 I15 SB,40.4,-111.85,5,2,0.32,1.59,12:58:11 AM,58.2,12:58:46 AM,58.8,2,72.4,24395,53269,57613,,,,,
173,5,5861,2629.85,3/21/2018,4:05:40 PM,1746 N I15 NB; MM 311 I15 NB,40.8,-111.92,4,1,0.25,1,1:02:20 AM,62.3,1:25:49 AM,85.8,2,105.7,24422,57940,64282,,,,,
174,5,23063,3268.53,5/2/2018,3:23:34 PM,10000 S I15 NB,40.57,-111.9,6,2,0.21,1.25,12:13:26 AM,13.4,1:15:56 AM,75.9,2,93.5,24522,55414,61024,,,,,
175,5,11789,7192,5/17/2018,10:54:18 AM,272499 I15 SB,40.32,-111.73,5,4,0.8,3.98,2:52:42 AM,172.7,1:14:48 AM,74.8,3,92.2,5936,39258,44790,,,,,
176,5,4673,2036.04,5/24/2018,3:24:32 PM,9000 S I15 NB,40.59,-111.9,5,1,0.2,1,12:36:28 AM,36.5,12:56:50 AM,56.8,2,70,30847,55472,59672,,,,,
177,5,10606,3560.42,5/25/2018,2:19:30 PM,278066 I15 SB,40.38,-111.83,7,3,0.26,1.82,12:52:30 AM,52.5,1:17:06 AM,77.1,2,95,24932,51570,57270,,,,,
178,5,19376,6338.41,5/30/2018,3:25:45 PM,600 S I15 NB,40.74,-111.9,5,3,0.53,2.66,1:52:15 AM,112.3,1:41:03 AM,101,2,124.5,37500,55545,63015,,,,,
179,5,12759,2142.23,6/18/2018,8:10:02 AM,9000 S I15 SB,40.59,-111.9,6,2,0.22,1.3,1:27:58 AM,88,12:51:02 AM,51,2,62.9,24495,29402,33176,,,,,
180,5,13558,2161.62,6/21/2018,3:33:49 PM,2300 N I215W NB,40.8,-111.95,3,1,0.33,1,1:42:11 AM,102.2,12:33:09 AM,33.1,1,40.8,33522,56029,58477,,,,,
181,5,18748,4450.53,6/21/2018,3:41:53 PM,2100 S I15 NB,40.72,-111.9,4,4,0.57,2.26,1:43:07 AM,103.1,12:57:46 AM,57.8,1,71.2,24514,56513,60785,,,,,
182,5,3744,2237.89,7/18/2018,12:42:56 PM,7200 S I15 NB,40.59,-111.9,6,3,0.41,2.47,1:46:04 AM,106.1,2:12:38 AM,132.6,2,163.4,24428,45776,55580,,,,,
183,5,11978,6355.07,7/18/2018,2:35:29 PM,12300 S I15 NB,40.52,-111.89,6,4,0.62,3.72,1:43:31 AM,103.5,12:45:26 AM,45.4,2,56,24399,52529,55889,,,,,
184,5,8549,2930.62,7/30/2018,4:50:55 PM,3400 S I15 SB,40.7,-111.9,6,3,0.38,2.26,1:35:05 AM,95.1,12:30:39 AM,30.6,2,37.8,30761,60655,62923,,,,,
185,5,10869,3673.17,7/30/2018,6:18:19 PM,11400 S I15 SB,40.55,-111.9,6,3,0.5,3,1:18:41 AM,78.7,12:35:14 AM,35.2,1,43.4,37500,65899,68503,,,,,
186,5,13154,3444.54,7/31/2018,4:54:20 PM,14793 S I15 SB,40.49,-111.89,6,3,0.29,1.77,1:33:40 AM,93.7,1:03:47 AM,63.8,1,78.6,30761,60860,65576,,,,,
187,5,21447,2586.01,8/23/2018,6:42:45 AM,8500 S I15 NB,40.59,-111.9,6,2,0.27,1.62,12:50:15 AM,50.3,12:44:55 AM,44.9,1,55.3,30667,24165,27483,,,,,
188,5,8361,2058.08,9/7/2018,12:54:40 PM,7500 S I15 NB,40.61,-111.9,6,3,0.19,1.14,1:15:20 AM,75.3,12:53:52 AM,53.9,1,66.4,16992,46480,50464,,,,,
189,5,10124,4189.47,9/7/2018,4:37:41 PM,16423 S I15 SB,40.46,-111.91,6,4,0.55,3.33,1:13:19 AM,73.3,12:41:31 AM,41.5,1,51.1,24876,59861,62927,,,,,
