Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
78,5/9/2018,17:54:34,34,264991 I15 SB,2,5148,202.18,40.22641,-111.67736,4,1,0.25,1,24897,64474,66514,,,,,,
79,5/22/2018,12:39:32,129,266048 I15 SB,2,11551,293.42,40.37686,-111.81864,5,3,0.4,2,24277,45572,53312,,,,,,
80,5/29/2018,7:08:23,64,1800 S I15 NB,2,10557,281.45,40.38409,-111.83057,5,2,0.469,2,24404,25703,29543,,,,,,
81,6/1/2018,13:43:14,54,5605 S I15 NB,2,6727,285.78,40.64801,-111.9023,5,1,0.2,1,46870,49394,52634,,,,,,
82,6/19/2018,9:23:54,40,278101 I15 NB,2,2633,306.97,40.37148,-111.80244,6,2,0.2733,1,33620,33834,36234,,,,,,
83,6/19/2018,15:18:33,36,284049 I15 SB,2,3959,375.6,40.44263,-111.90314,6,1,0.1667,2,24305,55113,57273,,,,,,
84,6/19/2018,17:39:19,60,500 S I15 NB,2,11418,252.59,40.74256,-111.90395,4,1,0.25,1,35812,63559,67159,,,,,,
85,6/26/2018,10:10:40,71,1000 N I15 NB,2,5827,380.01,40.59854,-111.90346,4,1,0.38,1,24547,36640,40900,,,,,,
86,6/27/2018,8:01:40,31,2900 S I15 NB,2,8632,267.66,40.70797,-111.90357,6,1,0.1667,2,24374,28900,30760,,,,,,
87,6/28/2018,18:33:50,113,6000 S I15 SB,2,8633,323.47,40.64801,-111.9023,5,1,0.2,1,24929,66830,73610,,,,,,
88,7/6/2018,8:49:59,24,4892 E I80 EB,2,2731,242.4,40.72018,-111.7786,3,2,0.6508,2,24420,31799,33239,,,,,,
89,7/9/2018,8:46:00,14,284049 I15 SB,2,6303,351.37,40.43517,-111.89436,4,3,0.75,2,24399,31560,32400,,,,,,
90,7/19/2018,14:02:42,64,2000 E I80 WB,2,3876,274.87,40.71588,-111.83279,3,1,0.3333,1,24872,50562,54402,,,,,,
91,7/23/2018,9:00:05,30,2400 S I15 SB,2,4220,207.25,40.73787,-111.90434,4,3,0.3269,2,24390,32405,34205,,,,,,
92,8/6/2018,7:45:46,64,1300 W I215S EB,2,6793,359.04,40.64483,-111.9322,5,1,0.2,1,24404,27946,31786,,,,,,
93,8/7/2018,17:06:11,9,4500 S I15 SB,2,2836,209.62,40.67736,-111.90156,7,1,0.1429,2,24988,61571,62111,,,,,,
94,8/22/2018,9:32:06,74,275000 I15 NB,2,4610,237.2,40.64801,-111.9023,6,2,0.1429,1,24390,34326,38766,,,,,,
