ID,x,y,IMTs,Cap reduction,Start,End,Year
159,-111.891185,40.492346,1,0.2,28714,30067,2018
160,-111.903876,40.621691,2,0.27,33719,36601,2018
161,-111.763625,40.346677,1,0.21,28519,31005,2018
162,-111.873991,40.718457,1,0.29,29175,34703,2018
163,-111.905066,40.63583,1,0.14,34326,38807,2018
164,-111.89995,40.578738,1,0.17,35593,39608,2018
165,-111.902118,40.592954,1,0.27,24165,27618,2018
166,-111.646776,40.176162,2,0.17,49003,51053,2018
167,-111.902118,40.592954,1,0.17,49726,55117,2018
168,-111.855023,40.719556,1,0.25,64146,67463,2018
169,-111.695384,40.251214,1,0.39,27809,30216,2018
170,-111.916129,40.791232,1,0.25,34504,37560,2018
171,-111.903609,40.707879,1,0.17,62894,64943,2018
172,-111.911228,40.467787,1,0.19,26681,32355,2018
173,-111.824926,40.380301,2,0.33,24696,28940,2018
174,-111.901951,40.480451,1,0.17,61702,65668,2018
175,-111.778355,40.355874,2,0.18,64594,67498,2018
176,-111.903609,40.707879,1,0.17,39338,41577,2018
177,-111.902118,40.592954,1,0.19,46480,50998,2018
178,-111.902495,40.592859,2,0.14,50809,54428,2018
179,-111.877416,40.630578,2,0.33,56087,59677,2018
180,-111.913881,40.453646,1,0.55,59861,64259,2018
181,-111.877416,40.630578,1,0.33,30268,33418,2018
182,-111.905404,40.607174,3,0.4,35268,42985,2018
183,-111.903609,40.707879,1,0.5,31721,33775,2018
184,-111.671729,40.112557,4,0.52,48852,59905,2018
185,-111.922229,40.804909,1,0.25,41947,45301,2018
186,-111.646474,40.176159,1,0.2,51435,54589,2018
187,-111.891185,40.492346,1,0.2,55769,57500,2018
188,-111.896336,40.550056,1,0.33,28393,29839,2018
189,-111.792922,40.36521,1,0.33,56568,60700,2018
190,-111.922481,40.804836,1,0.25,32187,36253,2018
191,-111.863979,40.410606,2,0.25,48528,51919,2018
192,-111.905108,40.607203,2,0.17,51249,53860,2018
193,-111.915765,40.791314,1,0.25,59337,61023,2018
194,-111.873991,40.718457,2,0.39,28267,31861,2018
195,-111.903609,40.707879,3,0.25,32670,40071,2018
196,-111.902181,40.679062,2,0.14,46236,54427,2018
197,-111.89949,40.564298,1,0.17,49221,54363,2018
198,-111.855023,40.719556,1,0.25,55576,60446,2018
199,-111.952424,40.659925,1,0.25,55884,60300,2018
200,-111.904219,40.722339,1,0.5,32013,36812,2018
201,-111.891185,40.492346,2,0.46,32500,38518,2018
202,-111.824748,40.380471,1,0.47,60511,63661,2018
203,-111.972955,40.764416,2,0.25,62824,67069,2018
204,-111.792753,40.36538,1,0.2,62770,67235,2018
205,-111.873991,40.718457,1,0.2,30228,33311,2018
206,-111.896336,40.550056,2,0.32,40200,44100,2018
207,-111.901521,40.664677,1,0.18,54812,59293,2018
208,-111.849583,40.401208,1,0.2,45620,49452,2018
209,-111.835351,40.392015,3,0.2,40311,47036,2018
210,-111.903011,40.442142,1,0.25,32613,35646,2018
211,-111.89995,40.578738,1,0.32,34227,39755,2018
212,-111.905108,40.607203,1,0.17,39049,43101,2018
213,-111.891485,40.492398,2,0.142857143,29388,31169,2022
214,-111.910735,40.777705,1,0.5,33821,38228,2022
215,-111.905869,40.475554,1,0.166666667,58890,66910,2022
216,-111.905066,40.63583,2,0.166666667,28327,31352,2022
217,-111.792922,40.365209,2,0.166666667,28726,30507,2022
218,-111.90188,40.654718,1,0.6,33313,38185,2022
219,-111.902252,40.480607,4,0.285714286,63270,70819,2022
220,-111.894897,40.543914,1,0.166666667,68283,73287,2022
221,-111.902091,40.591988,1,0.142857143,53471,57960,2022
222,-111.824926,40.380301,1,0.166666667,63929,68926,2022
223,-111.718248,40.274259,2,0.428571429,31983,37485,2022
224,-111.760217,40.344553,1,0.333333333,39350,44040,2022
225,-111.763778,40.346539,1,0.5,73095,78096,2022
226,-111.901613,40.667364,2,0.285714286,70130,74051,2022
227,-111.658246,40.122566,1,0.666666667,61838,65040,2022
228,-111.901258,40.667391,2,0.333333333,59468,60465,2022
229,-111.836246,40.717537,2,1,25886,28353,2022
230,-111.901402,40.65645,3,0.166666667,64872,66798,2022
231,-111.891393,40.499974,1,0.333333333,56015,60158,2022
232,-111.754141,40.340689,2,0.166666667,33877,37070,2022
233,-111.718248,40.274259,2,0.333333333,27821,33797,2022
